id,speech_id,person_id,surname
1267,2924768,31606,gibson
1268,2924769,31606,gibson
1269,2924770,31606,gibson
1270,2924771,31606,gibson
1271,2924772,31606,gibson
1272,2924773,24982,johnson
1273,2924774,31606,gibson
1274,2924775,31606,gibson
1275,2924776,31606,gibson
1276,2924777,31606,gibson
1277,2924778,31606,gibson
1278,2924779,24982,johnson
1279,2924780,24982,johnson
1280,2924781,24982,johnson
1281,2924782,24982,johnson
1282,2924783,24982,johnson
1283,2924784,34565,breuer
1284,2924785,24982,johnson
1285,2924786,34566,vebber
1286,2924787,24982,johnson
1287,2924788,34567,holte
1288,2924789,24982,johnson
1289,2924790,34568,schienebeck
1290,2924791,34569,ramme
1291,2924792,24982,johnson
1292,2924793,34570,meyer
1293,2924794,24982,johnson
1294,2924795,34570,meyer
1295,2924796,24982,johnson
1296,2924797,34570,meyer
1297,2924798,24982,johnson
1298,2924799,34570,meyer
1299,2924800,24982,johnson
1300,2924801,34570,meyer
1301,2924802,24982,johnson
1302,2924803,34570,meyer
1303,2924804,24982,johnson
1304,2924805,34565,breuer
1305,2924806,24982,johnson
1306,2924807,34565,breuer
1307,2924808,24982,johnson
1308,2924809,34565,breuer
1309,2924810,24982,johnson
1310,2924811,34565,breuer
1311,2924812,24982,johnson
1312,2924813,34566,vebber
1313,2924814,24982,johnson
1314,2924815,34566,vebber
1315,2924816,24982,johnson
1316,2924817,34566,vebber
1317,2924818,24982,johnson
1318,2924819,34570,meyer
1319,2924820,24982,johnson
1320,2924821,34570,meyer
1321,2924822,24982,johnson
1322,2924823,34570,meyer
1323,2924824,24982,johnson
1324,2924825,34570,meyer
1325,2924826,24982,johnson
1326,2924827,34570,meyer
1327,2924828,24982,johnson
1328,2924829,34567,holte
1329,2924830,24982,johnson
1330,2924831,34567,holte
1331,2924832,24982,johnson
1332,2924833,34567,holte
1333,2924834,24982,johnson
1334,2924835,34570,meyer
1335,2924836,34567,holte
1336,2924837,24982,johnson
1337,2924838,34567,holte
1338,2924839,24982,johnson
1339,2924840,34567,holte
1340,2924841,24982,johnson
1341,2924842,34567,holte
1342,2924843,24982,johnson
1343,2924844,34567,holte
1344,2924845,24982,johnson
1345,2924846,34568,schienebeck
1346,2924847,24982,johnson
1347,2924848,34568,schienebeck
1348,2924849,24982,johnson
1349,2924850,34570,meyer
1350,2924851,24982,johnson
1351,2924852,34568,schienebeck
1352,2924853,24982,johnson
1353,2924854,34570,meyer
1354,2924855,24982,johnson
1355,2924856,34570,meyer
1356,2924857,34568,schienebeck
1357,2924858,24982,johnson
1358,2924859,34568,schienebeck
1359,2924860,24982,johnson
1360,2924861,34568,schienebeck
1361,2924862,24982,johnson
1362,2924863,34568,schienebeck
1363,2924864,24982,johnson
1364,2924865,34568,schienebeck
1365,2924866,24982,johnson
1366,2924867,34568,schienebeck
1367,2924868,24982,johnson
1368,2924869,34568,schienebeck
1369,2924870,24982,johnson
1370,2924871,34568,schienebeck
1371,2924872,24982,johnson
1372,2924873,34568,schienebeck
1373,2924874,24982,johnson
1374,2924875,34568,schienebeck
1375,2924876,24982,johnson
1376,2924877,34568,schienebeck
1377,2924878,24982,johnson
1378,2924879,34568,schienebeck
1379,2924880,34570,meyer
1380,2924881,24982,johnson
1381,2924882,34570,meyer
1382,2924883,24982,johnson
1383,2924884,34570,meyer
1384,2924885,24982,johnson
1385,2924886,34570,meyer
1386,2924887,24982,johnson
1387,2924888,34570,meyer
1388,2924889,24982,johnson
1389,2924890,34570,meyer
1390,2924891,24982,johnson
1391,2924892,34570,meyer
1392,2924893,24982,johnson
1393,2924894,34570,meyer
1394,2924895,24982,johnson
1395,2924896,34569,ramme
1396,2924897,24982,johnson
1397,2924898,34569,ramme
1398,2924899,24982,johnson
1399,2924900,34565,breuer
1400,2924901,24982,johnson
1401,2924902,34569,ramme
1402,2924903,24982,johnson
1403,2924904,34569,ramme
1404,2924905,24982,johnson
1405,2924906,34569,ramme
1406,2924907,24982,johnson
1407,2924908,34565,breuer
1408,2924909,24982,johnson
1409,2924910,34565,breuer
1410,2924911,24982,johnson
1411,2924912,34565,breuer
1412,2924913,24982,johnson
1413,2924914,34565,breuer
1414,2924915,24982,johnson
1415,2924916,34565,breuer
1416,2924917,24982,johnson
1417,2924918,34569,ramme
1418,2924919,24982,johnson
1419,2924920,34569,ramme
1420,2924921,24982,johnson
1421,2924922,34569,ramme
1422,2924923,24982,johnson
1423,2924924,34569,ramme
