committee_id,subcommitee_id,type,committee_name,subcommittee_name,chamber,congress_session,committee_session
82,82,P,Special Committee on Aging Aging,"Subcommittee on Technology, Terrorism, and Government Information",SENATE,113,2
83,83,S,Committee on Appropriations,"Subcommittee on the Departments of Commerce, Justice, and State, The",HOUSE,108,1
84,84,S,"Committee on Commerce Commerce  Subcommittee on Courts, the Internet, and Intellectual Property","Subcommittee on Foreign Operations, Export Financing, and Related",HOUSE,108,1
85,85,S,Committee on Education and the Workforce Education and the Workforce,"Subcommittee on Foreign Operations, Export Financing, and Related",HOUSE,108,2
86,86,S,Committee on Financial Services,Subcommittee on Housing and Community Opportunity,HOUSE,108,1
87,87,S,Committee on Government Reform,"Subcommittee on Criminal Justice, Drug Policy and Human Resources",HOUSE,108,1
88,88,S,Committee on Homeland Security Homeland Security,Subcommittee on Human Rights and Wellness,HOUSE,108,1
89,89,S,Committee on House Administration House Administration,Subcommittee on Human Rights and Wellness,HOUSE,108,1
90,90,S,Committee on Resources Resources,Subcommittee on Human Rights and Wellness,HOUSE,108,2
91,91,S,Committee on Rules Rules,Subcommittee on Energy and Mineral Resources,HOUSE,108,2
92,92,S,Committee on Science Science,Subcommittee on Energy and Mineral Resources,HOUSE,108,1
93,93,S,Committee on Small Business,"Subcommittee on Workforce, Empowerment & Government Programs",HOUSE,108,1
94,94,S,Committee on the Budget The Budget,"Subcommittee on Rural Enterprises, Agriculture, & Technology",HOUSE,108,2
95,95,S,Committee on the Judiciary,Subcommittee on the Constitution,HOUSE,108,1
96,96,L,"Permanent Select Committee on Intelligence Intelligence (Permanent)  Subcommittee on Crime, Terrorism, and Homeland Security","Subcommittee on Immigration, Border Security, and Claims",HOUSE,108,2
97,97,S,Committee on Transportation and Infrastructure,Subcommittee on Railroads,HOUSE,108,1
98,98,S,Committee on Veterans' Affairs Veterans' Affairs,Subcommittee on Water Resources and Environment,HOUSE,108,2
99,99,S,Committee on Ways and Means,Subcommittee on Trade,HOUSE,108,2
100,100,S,Select Committee on Homeland Security  Homeland Security,Subcommittee on Human Resources,HOUSE,108,1
101,101,S,Select Committee on Homeland Security  Homeland Security,Subcommittee on Human Resources,HOUSE,108,1
102,102,S,"Committee on Small Business and Entrepreneurship Small Business  Subcommittee on Workforce, Empowerment & Government Programs   Subcommittee on Tax, Finance & Exports",Subcommittee on Human Resources,JOINT,108,1
103,103,S,"Committee on Agriculture, Nutrition, and Forestry Agriculture",Subcommittee on Human Resources,SENATE,108,1
104,104,S,Committee on Appropriations Appropriations,Subcommittee on Production and Price Competitiveness,SENATE,108,2
105,105,S,Committee on Indian Affairs Indian Affairs,Subcommittee on Production and Price Competitiveness,SENATE,108,1
106,106,S,Committee on Armed Services Armed Services,Subcommittee on Production and Price Competitiveness,SENATE,108,1
107,107,S,"Committee on Banking, Housing, and Urban Affairs Banking",Subcommittee on Personnel,SENATE,108,1
108,108,S,"Committee on Commerce, Science, and Transportation Commerce",Subcommittee on Securities and Investment,SENATE,108,1
109,109,S,Committee on Energy and Natural Resources,Subcommittee on Energy,SENATE,108,1
110,110,S,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,SENATE,108,1
111,111,S,Committee on Finance Finance,Subcommittee on Transportation and Infrastructure,SENATE,108,1
112,112,S,Committee on Foreign Relations Foreign Relations,Subcommittee on Transportation and Infrastructure,SENATE,108,2
113,113,S,Committee on Governmental Affairs Governmental Affairs,Subcommittee on East Asian and Pacific Affairs,SENATE,108,1
114,114,S,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Children and Families,SENATE,108,1
115,115,S,Committee on Judiciary Judiciary,Subcommittee on Aging,SENATE,108,1
